Artist,Album,Track,PlayCount,ArtistAlbum,ArtistAlbumTrack
Expandera,Lifelover,Sjukdom,65,Expandera - Lifelover,Expandera - Lifelover - Sjukdom
Полковнику никто не пишет,Би-2,Би-2,37,Полковнику никто не пишет - Би-2,Полковнику никто не пишет - Би-2 - Би-2
Missing,Paradise Lost,In Requiem,34,Missing - Paradise Lost,Missing - Paradise Lost - In Requiem
Redefine Me,Mercenary,The Hours That Remain,31,Redefine Me - Mercenary,Redefine Me - Mercenary - The Hours That Remain
проклятый старый дом,Король и Шут,Как в старой сказке,31,проклятый старый дом - Король и Шут,проклятый старый дом - Король и Шут - Как в старой сказке
Dead Words Speak,Doom:VS,Dead Words Speak,30,Dead Words Speak - Doom:VS,Dead Words Speak - Doom:VS - Dead Words Speak
Rome Is Falling,Civil War,The Killer Angels,29,Rome Is Falling - Civil War,Rome Is Falling - Civil War - The Killer Angels
Dragons,Stratovarius,Nemesis,27,Dragons - Stratovarius,Dragons - Stratovarius - Nemesis
Воспоминания о былой любви,Король и шут,Как в старой сказке,27,Воспоминания о былой любви - Король и шут,Воспоминания о былой любви - Король и шут - Как в старой сказке
None Becoming,Dark Tranquillity,Construct,26,None Becoming - Dark Tranquillity,None Becoming - Dark Tranquillity - Construct
A Touch of Blessing,Evergrey,The Inner Circle,25,A Touch of Blessing - Evergrey,A Touch of Blessing - Evergrey - The Inner Circle
An Open Letter To Myself,Architects,The Here And Now,25,An Open Letter To Myself - Architects,An Open Letter To Myself - Architects - The Here And Now
Departure,The Foreshadowing,Days of Nothing,25,Departure - The Foreshadowing,Departure - The Foreshadowing - Days of Nothing
Judas Be My Guide,Iron Maiden,Fear of the Dark,25,Judas Be My Guide - Iron Maiden,Judas Be My Guide - Iron Maiden - Fear of the Dark
New Dynamic,Omnium Gatherum,Beyond,25,New Dynamic - Omnium Gatherum,New Dynamic - Omnium Gatherum - Beyond
The Legacy,Iron Maiden,A Matter of Life and Death,25,The Legacy - Iron Maiden,The Legacy - Iron Maiden - A Matter of Life and Death
Dreaming In Red,Dismember,Indecent and Obscene,24,Dreaming In Red - Dismember,Dreaming In Red - Dismember - Indecent and Obscene
Dressed In Black,Silent Civilian,Ghost Stories,24,Dressed In Black - Silent Civilian,Dressed In Black - Silent Civilian - Ghost Stories
Starving Eyes,Mercenary,Through Our Darkest Days,23,Starving Eyes - Mercenary,Starving Eyes - Mercenary - Through Our Darkest Days
